requiresPairing: true
06-14 17:25:54.779	tUHM:GearRulesManager.GearInfo :deviceName: Gear IconX
containerPackage: null
pluginPackage: com.samsung.accessory.beansmgr
supportTablet: false
supportNonSamsung: true
supportMultiConnection: true
connectAsAudio: true
hostMinMemory: 0MB
requiresPairing: true
06-14 17:25:54.780	tUHM:GearRulesManager.GearInfo :deviceName: Gear IconX 2
containerPackage: null
pluginPackage: com.samsung.accessory.beansmgr
supportTablet: false
supportNonSamsung: true
supportMultiConnection: true
connectAsAudio: true
hostMinMemory: 0MB
requiresPairing: true
06-14 17:25:54.780	tUHM:GearRulesManager. groupGearSetMap.put(GEAR CHIRON , [GEAR CHIRON]
06-14 17:25:54.780	tUHM:GearRulesManager.GearInfo :deviceName: Gear Chiron
containerPackage: null
pluginPackage: com.samsung.android.chironplugin
supportTablet: false
supportNonSamsung: true
supportMultiConnection: false
connectAsAudio: false
hostMinMemory: 1024MB
requiresPairing: false
06-14 17:25:54.780	tUHM:GearRulesManager.GearInfo :deviceName: Samsung Gear Chiron
containerPackage: null
pluginPackage: com.samsung.android.chironplugin
supportTablet: false
supportNonSamsung: true
supportMultiConnection: false
connectAsAudio: false
hostMinMemory: 1024MB
requiresPairing: false
06-14 17:25:54.781	tUHM:GearRulesManager.savePreferences() xmlVersion:2.08
06-14 17:25:54.781	tUHM:GearRulesManager.savePrefDeviceContainerMap()
06-14 17:25:54.782	tUHM:GearRulesManager.savePrefDevicePluginMap()
06-14 17:25:54.783	tUHM:GearRulesManager.processRulesFile() savePreferences() isSuccess:true
06-14 17:25:54.783	tUHM:UpdateChecker.onSyncComplete (2, true)
